id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-05-20T01:15:00;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2023-05-20T05:11:52;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2023-05-19T14:15:16;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2023-05-19T09:44:53;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2023-05-20T04:22:47;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2023-05-19T13:08:59;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2023-05-19T15:39:07;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2023-05-20T05:42:31;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2023-05-19T21:03:10;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2023-05-19T09:43:20;32637;8639
